pax_load_factor,ssr_total,minimum_turn_minutes,carrier,transfer_to_checked_ratio,difficulty_class,predicted_difficulty,difficulty_score
0.6871508379888268,2,56,MAINLINE,2.0,Easy,Difficult,0.44161048069292047
1.0476190476190477,2,43,MAINLINE,0.7931034482758621,Difficult,Difficult,0.3719747796811859
0.98,1,29,EXPRESS,8.5,Difficult,Easy,0.26412056501541736
1.11,7,62,MAINLINE,1.975,Medium,Difficult,0.41673336126173816
1.0,1,29,EXPRESS,12.0,Easy,Easy,0.27428222147273235
0.7138364779874213,5,155,MAINLINE,2.657142857142857,Medium,Medium,0.32151077622038443
1.0542168674698795,4,51,MAINLINE,2.409090909090909,Difficult,Difficult,0.40023012886914144
1.16,2,29,EXPRESS,26.0,Easy,Easy,0.19824673750789001
0.7597765363128491,1,56,MAINLINE,0.8928571428571429,Easy,Easy,0.3377308102695454
1.0476190476190477,2,51,MAINLINE,0.65625,Easy,Medium,0.33541451637724673
0.6710526315789473,1,34,EXPRESS,2.7,Easy,Medium,0.25319960770000266
1.0533333333333332,5,46,MAINLINE,1.4137931034482758,Medium,Difficult,0.38426311450047324
0.9603174603174603,2,43,MAINLINE,0.8490566037735849,Difficult,Difficult,0.3773292122353182
1.11,9,68,MAINLINE,0.44329896907216493,Easy,Difficult,0.43334811763208125
0.7349397590361446,1,51,MAINLINE,3.0,Medium,Difficult,0.4012317032446109
1.1843575418994414,10,56,MAINLINE,1.2769230769230768,Difficult,Difficult,0.4674036734824998
1.2714285714285714,4,34,EXPRESS,16.333333333333332,Easy,Difficult,0.5395378959999017
0.92,1,29,EXPRESS,0.85,Easy,Easy,0.2565730314544521
0.9473684210526315,1,34,EXPRESS,0.8181818181818182,Medium,Medium,0.21817842402419696
1.0,2,29,EXPRESS,1.3333333333333333,Difficult,Easy,0.25631281209256657
1.1825396825396826,1,43,MAINLINE,0.6538461538461539,Difficult,Medium,0.30078456934396625
0.6538461538461539,4,66,MAINLINE,0.1111111111111111,Easy,Easy,0.2710224375791004
1.0533333333333332,1,46,MAINLINE,1.0769230769230769,Easy,Medium,0.3532687395845075
1.03,6,62,MAINLINE,1.5609756097560976,Difficult,Difficult,0.4253560283880475
0.9210526315789473,1,42,EXPRESS,17.333333333333332,Easy,Difficult,0.35004047661674786
0.82,1,29,EXPRESS,6.5,Easy,Easy,0.27154476866065785
1.0394736842105263,1,34,EXPRESS,0.6923076923076923,Easy,Medium,0.2375524574701097
0.9078947368421053,1,34,EXPRESS,1.75,Medium,Medium,0.23710498169409425
1.06,3,46,MAINLINE,0.8727272727272727,Easy,Difficult,0.3601122261421843
1.2793296089385475,2,56,MAINLINE,2.5588235294117645,Difficult,Difficult,0.3907807499489842
1.02,2,29,EXPRESS,0.0,Easy,Easy,0.24037548487118557
1.2,2,29,EXPRESS,0.9375,Difficult,Easy,0.2838895576135066
1.0263157894736843,1,34,EXPRESS,0.23255813953488372,Medium,Medium,0.17505656955611573
0.7368421052631579,2,34,EXPRESS,1.8333333333333333,Easy,Medium,0.2445176629155136
1.0555555555555556,1,43,MAINLINE,0.8611111111111112,Difficult,Difficult,0.36170207750030686
0.44,1,29,EXPRESS,0.9090909090909091,Difficult,Difficult,0.47384880566748006
0.96,2,29,EXPRESS,16.0,Difficult,Easy,0.2881139505864563
0.7222222222222222,1,43,MAINLINE,5.714285714285714,Difficult,Difficult,0.473142160708731
1.0,1,29,EXPRESS,2.1,Medium,Easy,0.24953968352461567
1.06,1,29,EXPRESS,4.0,Easy,Easy,0.248960413953792
1.0391061452513966,3,56,MAINLINE,1.608695652173913,Easy,Difficult,0.387756611969735
0.553072625698324,2,56,MAINLINE,2.5833333333333335,Difficult,Difficult,0.5376637351304968
0.8,1,62,MAINLINE,1.7272727272727273,Difficult,Difficult,0.40445260665572735
1.0614525139664805,3,56,MAINLINE,0.7727272727272727,Easy,Medium,0.341886347818157
1.1893004115226338,4,150,MAINLINE,0.6618705035971223,Easy,Difficult,0.39356262514931517
1.14,2,29,EXPRESS,1.8461538461538463,Easy,Easy,0.23694932374922142
1.0714285714285714,1,34,EXPRESS,3.9,Easy,Medium,0.28175623540752537
1.12,1,29,EXPRESS,1.9411764705882353,Medium,Easy,0.2599886803436454
1.0335195530726258,6,56,MAINLINE,0.4392523364485981,Medium,Medium,0.3685683815258277
1.155,5,62,MAINLINE,0.4235294117647059,Easy,Medium,0.3409733183064074
1.0394736842105263,1,34,EXPRESS,1.0,Medium,Medium,0.22790953020708143
0.927710843373494,3,51,MAINLINE,10.615384615384615,Medium,Difficult,0.4783213850449542
1.1024096385542168,2,51,MAINLINE,0.6206896551724138,Difficult,Medium,0.33128382054091493
0.9106145251396648,1,56,MAINLINE,1.4,Difficult,Difficult,0.3959220555204261
1.4605263157894737,1,34,EXPRESS,0.6341463414634146,Easy,Easy,0.2658027555010101
0.14,1,29,EXPRESS,0.75,Medium,Easy,0.2659950026799801
1.355263157894737,1,34,EXPRESS,0.5833333333333334,Medium,Medium,0.288974862623761
1.2905027932960893,3,56,MAINLINE,0.9444444444444444,Easy,Medium,0.36335108158993207
0.92,1,29,EXPRESS,3.857142857142857,Easy,Easy,0.2434159162997336
1.042857142857143,4,39,EXPRESS,1.7826086956521738,Medium,Medium,0.2565372916471168
1.0158730158730158,5,43,MAINLINE,5.666666666666667,Difficult,Difficult,0.4278078202818229
1.1761363636363635,5,122,MAINLINE,0.8875,Difficult,Difficult,0.5207140919263367
1.1566265060240963,4,51,MAINLINE,0.2,Difficult,Medium,0.3245281343661935
1.763157894736842,2,34,EXPRESS,0.2222222222222222,Difficult,Medium,0.17299570039711876
1.2955974842767295,8,155,MAINLINE,1.1386861313868613,Medium,Difficult,0.5724584840352851
1.1508379888268156,2,56,MAINLINE,1.4736842105263157,Medium,Medium,0.3715359346867869
0.9868421052631579,3,34,EXPRESS,1.434782608695652,Easy,Medium,0.21982517998963444
1.22,2,29,EXPRESS,3.1666666666666665,Easy,Easy,0.23555137864568612
1.06,2,29,EXPRESS,1.4705882352941178,Difficult,Easy,0.2601261526050908
1.0952380952380953,3,100,MAINLINE,0.8,Medium,Difficult,0.4504222015632741
1.2556818181818181,3,122,MAINLINE,0.5303030303030303,Medium,Difficult,0.44279740157049297
1.3026315789473684,1,34,EXPRESS,3.125,Medium,Difficult,0.40647544124267637
0.18,2,29,EXPRESS,4.333333333333333,Medium,Medium,0.3148735875888466
0.8333333333333334,5,46,MAINLINE,2.5,Difficult,Difficult,0.42073282553758906
1.1704545454545454,3,122,MAINLINE,0.4519230769230769,Easy,Difficult,0.4509765224078122
1.011173184357542,3,56,MAINLINE,1.3255813953488371,Medium,Difficult,0.38034546526277296
1.0657894736842106,1,34,EXPRESS,10.2,Easy,Medium,0.334231442019796
1.3026315789473684,2,34,EXPRESS,1.9444444444444444,Difficult,Difficult,0.5005630604164871
0.68,2,29,EXPRESS,1.75,Difficult,Difficult,0.40288663548414166
1.02,1,29,EXPRESS,0.9,Difficult,Easy,0.27685231489225703
1.0558659217877095,2,56,MAINLINE,2.175,Medium,Difficult,0.39744791016459224
1.04,2,29,EXPRESS,2.6153846153846154,Difficult,Easy,0.2543665602684308
1.0,1,39,EXPRESS,2.466666666666667,Medium,Medium,0.2609246616271153
1.1,3,29,EXPRESS,0.36,Easy,Easy,0.26353953342818875
1.0789473684210527,2,34,EXPRESS,1.2857142857142858,Medium,Medium,0.24136537902592517
1.18,2,29,EXPRESS,17.0,Medium,Medium,0.2009196760084489
0.9879518072289156,2,51,MAINLINE,1.8857142857142857,Easy,Difficult,0.3911736156214652
0.9210526315789473,5,34,EXPRESS,9.5,Medium,Medium,0.2863189753479478
0.94,4,29,EXPRESS,1.5384615384615385,Easy,Easy,0.1853031927160431
1.1984126984126984,1,43,MAINLINE,0.2054794520547945,Difficult,Medium,0.26883672198541564
1.04,1,29,EXPRESS,0.5789473684210527,Easy,Easy,0.2529656567970246
1.08,1,29,EXPRESS,0.9,Difficult,Easy,0.29378087118507273
1.33,6,62,MAINLINE,1.2857142857142858,Difficult,Difficult,0.43889602565434366
